,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - MEGHALAYA,2966889,342078,130399,2213027,3045,9864,627,258271,9578
1,District - West Garo Hills,643291,122936,106788,389956,209,3392,144,16950,2916
2,District - East Garo Hills,317917,17272,3359,289708,56,1004,38,5617,863
3,District - South Garo Hills,142334,7036,1050,132984,27,332,10,362,533
4,District - West Khasi Hills,383461,6498,1533,366881,58,1313,38,5878,1262
5,District - Ribhoi,258840,30945,1838,218508,166,428,49,6308,598
6,District - East Khasi Hills,825922,144935,14185,543394,2495,3111,303,115597,1902
7,District - Jaintia Hills,395124,12456,1646,271596,34,284,45,107559,1504
