,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - DADRA & NAGAR HAVELI,343709,322857,12922,5113,217,634,1186,293,487
1,District - Dadra & Nagar Haveli,343709,322857,12922,5113,217,634,1186,293,487
