,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - MIZORAM,1097206,30136,14832,956331,286,93411,376,808,1026
1,District - Mamit,86364,2989,1782,69104,13,12328,25,19,104
2,District - Kolasib,83955,4000,4426,75210,16,108,2,46,147
3,District - Aizawl,400309,13249,5264,379134,105,1570,76,505,406
4,District - Champhai,125745,1075,699,123446,9,151,45,194,126
5,District - Serchhip,64937,991,335,63444,6,60,9,35,57
6,District - Lunglei,161428,5231,1290,127124,74,27543,93,5,68
7,District - Lawngtlai,117894,1668,522,63892,52,51549,122,2,87
8,District - Saiha,56574,933,514,54977,11,102,4,2,31
