,Entity,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
0,State - GOA,1458545,963877,121564,366130,1473,1095,1109,258,3039
1,District - North Goa,818008,622213,57941,134169,618,553,546,166,1802
2,District - South Goa,640537,341664,63623,231961,855,542,563,92,1237
