,State,District,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
77,Bihar,Purnia,3264619,1989420,1255641,7989,614,353,1450,650,8502
78,Bihar,Katihar,3071029,1684589,1365645,8659,2754,212,507,2141,6522
79,Bihar,Madhepura,2001762,1753829,241760,1342,170,60,133,81,4387
80,Bihar,Saharsa,1900661,1629254,266620,1292,197,60,109,8,3121
81,Bihar,Darbhanga,3937385,3042729,881476,3534,832,245,236,101,8232
82,Bihar,Muzaffarpur,4801062,4032773,745546,5149,933,288,382,98,15893
83,Bihar,Gopalganj,2562012,2119262,436057,2463,271,167,133,28,3631
84,Bihar,Siwan,3330464,2712635,608282,2618,369,407,359,86,5708
85,Bihar,Saran,3951862,3534772,406449,2330,371,229,322,107,7282
86,Bihar,Vaishali,3495021,3152346,333980,2203,707,362,246,71,5106
87,Bihar,Samastipur,4261566,3800598,452370,2126,554,292,231,112,5283
88,Bihar,Begusarai,2970541,2554330,407348,2209,402,229,276,57,5690
89,Bihar,Khagaria,1666886,1486989,175588,1253,143,79,86,115,2633
90,Bihar,Bhagalpur,3037766,2487866,537098,3556,415,180,1050,32,7569
91,Bihar,Banka,2034763,1772655,250925,6138,139,113,94,1035,3664
92,Bihar,Munger,1367765,1252319,110416,1815,338,95,145,61,2576
93,Bihar,Lakhisarai,1000912,956396,40886,487,140,52,78,52,2821
94,Bihar,Sheikhpura,636342,596102,37653,313,75,41,43,31,2084
95,Bihar,Nalanda,2877653,2669775,198033,1978,393,414,561,64,6435
96,Bihar,Patna,5838465,5356075,439952,12551,4803,1062,2151,203,21668
97,Bihar,Bhojpur,2728407,2518216,197819,2165,544,647,1472,48,7496
98,Bihar,Buxar,1706352,1591454,105423,2125,248,5090,97,57,1858
99,Bihar,Kaimur (Bhabua),1626384,1456229,155283,1407,296,7707,129,1534,3799
100,Bihar,Rohtas,2959918,2645415,300487,2889,2569,1584,252,537,6185
101,Bihar,Aurangabad,2540073,2291133,237353,2218,295,334,775,19,7946
102,Bihar,Gaya,4391418,3876395,488121,3943,913,870,1723,108,19345
103,Bihar,Nawada,2219146,1964620,244394,1299,250,176,279,80,8048
104,Bihar,Jamui,1760405,1525746,217621,8443,162,159,87,3438,4749
105,Bihar,Jehanabad ,1125313,1045117,75742,691,148,248,60,58,3249
106,Bihar,Arwal,700843,634099,64259,390,59,323,74,60,1579
107,Chandigarh,Chandigarh,1055450,852574,51447,8720,138329,1160,1960,246,1014
108,Chhattisgarh,Koriya,658917,604259,25878,9398,1391,84,1155,15474,1278
109,Chhattisgarh,Surguja,2359886,2126195,81442,97432,2303,1287,623,48295,2309
110,Chhattisgarh,Jashpur ,851669,629509,15336,189588,474,467,694,14835,766
111,Chhattisgarh,Raigarh,1493984,1422986,17332,47653,2117,781,409,1782,924
112,Chhattisgarh,Korba ,1206640,1133176,30195,21059,3666,897,753,15649,1245
113,Chhattisgarh,Janjgir - Champa,1619707,1597089,14173,2926,635,556,707,2220,1401
114,Chhattisgarh,Bilaspur,2663629,2540763,57973,20745,6373,2979,2357,29122,3317
115,Chhattisgarh,Kabeerdham,822526,776013,12206,980,924,433,1167,30222,581
116,Chhattisgarh,Rajnandgaon,1537133,1399658,23648,5193,3761,28541,8187,67444,701
117,Chhattisgarh,Durg,3343872,3129745,83499,24304,24276,19587,17209,42569,2683
118,Chhattisgarh,Raipur,4063872,3881485,103038,23181,16707,8397,17137,10680,3247
119,Chhattisgarh,Mahasamund,1032754,1008061,12570,5284,2941,521,1495,1417,465
120,Chhattisgarh,Dhamtari ,799781,777188,10425,2644,1196,667,3612,3685,364
121,Chhattisgarh,Uttar Bastar Kanker,748941,627460,6040,4007,552,2213,1071,105869,1729
122,Chhattisgarh,Bastar,1413199,1277975,12413,27951,2099,985,3466,86925,1385
123,Chhattisgarh,Narayanpur,139820,129161,776,600,96,71,409,8542,165
124,Chhattisgarh,Dakshin Bastar Dantewada,533638,513915,6437,4888,457,352,1044,6071,474
125,Chhattisgarh,Bijapur,255230,245151,1617,2709,68,1649,15,3793,228
126,Dadra & Nagar Haveli,Dadra & Nagar Haveli,343709,322857,12922,5113,217,634,1186,293,487
127,Daman & Diu,Diu,52074,48613,3190,202,3,1,43,0,22
128,Daman & Diu,Daman,191173,171537,16087,2618,169,216,244,79,223
129,Delhi NCR,North West,3656539,3211042,291330,14100,92129,2281,43460,345,1852
130,Delhi NCR,North,887978,726443,119792,7256,19066,1824,13049,81,467
131,Delhi NCR,North East,2241624,1529337,657585,9123,17424,2388,24673,48,1046
132,Delhi NCR,East,1709346,1410852,178807,15792,53027,2643,46927,366,932
133,Delhi NCR,New Delhi,142004,124482,8480,4852,2933,312,679,66,200
134,Delhi NCR,Central,582320,364148,194278,3527,13038,362,5886,107,974
135,Delhi NCR,West,2543243,2087294,149807,18337,271752,1993,11322,273,2465
136,Delhi NCR,South West,2292958,2102743,112691,31226,31692,2784,9215,266,2341
137,Delhi NCR,South,2731929,2155759,445914,41880,69520,3862,11020,645,3329
138,Goa,North Goa,818008,622213,57941,134169,618,553,546,166,1802
139,Goa,South Goa,640537,341664,63623,231961,855,542,563,92,1237
140,Gujarat,Kachchh,2092371,1608921,442355,6192,6353,490,25312,98,2650
141,Gujarat,Banas Kantha,3120506,2890305,213505,1686,486,281,12659,83,1501
142,Gujarat,Patan  ,1343734,1194745,142797,916,337,66,3602,66,1205
143,Gujarat,Mahesana,2035064,1885732,136431,1954,1082,146,7087,88,2544
144,Gujarat,Sabar Kantha,2428589,2260560,148563,6375,614,168,11110,52,1147
145,Gujarat,Gandhinagar,1391753,1319586,57273,3237,1985,497,6405,82,2688
146,Gujarat,Ahmadabad,7214225,6042416,883238,50754,14542,4518,209287,2055,7415
147,Gujarat,Surendranagar,1756268,1620282,109681,1419,512,312,22992,128,942
148,Gujarat,Rajkot,3804558,3397406,361388,5478,1918,1170,33591,269,3338
149,Gujarat,Jamnagar,2160119,1810443,320805,4392,1873,1086,18856,136,2528
150,Gujarat,Porbandar ,585449,549749,33565,500,248,91,515,38,743
151,Gujarat,Junagadh,2743082,2397056,334858,2586,1110,1291,3841,77,2263
152,Gujarat,Amreli,1514190,1410463,99105,919,415,243,2053,40,952
153,Gujarat,Bhavnagar,2880365,2632574,212863,3457,1410,445,26974,127,2515
154,Gujarat,Anand  ,2092745,1798794,250919,29789,1524,267,8591,142,2719
155,Gujarat,Kheda,2299885,2000884,264482,26629,1403,300,3479,82,2626
156,Gujarat,Panch Mahals,2390776,2220974,158513,2863,662,337,5236,131,2060
157,Gujarat,Dohad  ,2127086,2045243,66353,9907,493,260,3331,114,1385
158,Gujarat,Vadodara,4165626,3713941,384579,23813,9340,2069,27650,1124,3110
159,Gujarat,Narmada,590297,559848,22600,4413,147,80,373,2078,758
160,Gujarat,Bharuch,1551019,1188204,343511,9494,1733,442,4813,342,2480
161,Gujarat,The Dangs,228291,203545,3593,20029,69,32,39,560,424
162,Gujarat,Navsari  ,1329672,1225087,78669,5733,2459,601,13386,2823,914
163,Gujarat,Valsad,1705678,1571147,94034,19661,1589,913,13809,1417,3108
164,Gujarat,Surat,6081322,5260193,660772,21052,5703,12902,112835,3920,3945
165,Gujarat,Tapi,807022,725890,22309,52930,239,1476,1828,408,1942
166,Haryana,Panchkula,561293,490702,23451,2583,40951,1008,1626,90,882
167,Haryana,Ambala,1128350,955096,22143,3705,138202,381,4845,110,3868
168,Haryana,Yamunanagar,1214205,984929,138569,3646,84455,161,1555,126,764
169,Haryana,Kurukshetra,964655,805175,15970,1943,140395,214,375,106,477
170,Haryana,Kaithal,1074304,974520,8232,1769,87558,265,351,70,1539
171,Haryana,Karnal,1505324,1341002,31650,2049,126207,532,1516,49,2319
172,Haryana,Panipat,1205437,1083936,86622,2261,25064,289,4647,99,2519
173,Haryana,Sonipat,1450001,1390149,45100,1405,4484,336,6033,29,2465
174,Haryana,Jind,1334152,1276669,23016,889,29103,172,2594,56,1653
175,Haryana,Fatehabad,942011,779243,8360,996,150969,171,1172,530,570
176,Haryana,Sirsa,1295189,940255,9524,2186,338962,370,2256,624,1012
177,Haryana,Hisar,1743931,1701061,21650,1945,12270,334,3620,33,3018
178,Haryana,Bhiwani,1634445,1611031,15515,873,2401,254,1016,26,3329
179,Haryana,Rohtak,1061204,1043887,8185,732,3916,200,3491,24,769
180,Haryana,Jhajjar,958405,945693,8247,734,1042,105,645,22,1917
181,Haryana,Mahendragarh,922088,913251,5660,301,1737,75,644,15,405
